id,name,description,flash_time,flash_yellow,operation_type,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1793262027,TS187,California Ave - Davis Ave,24 Hr stop and go,CALIFORNIA AVE,Fixed,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48007504,-80.04108247
1603723371,TS191,California Ave - Termon Ave,24 Hr stop and go,,Fixed,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48191135,-80.04176745
10423150,TS192,Cape May Ave - W Liberty Ave,24 Hr stop and go,W LIBERTY AVE,Fixed / Ped Actuated,Brookline,4,19,42003191700,5,19,6,4-28,40.40845654,-80.01778297
452184134,TS193,Capital Ave - W Liberty Ave,24 Hr stop and go,W LIBERTY AVE,Fixed / Ped Actuated,Brookline,4,19,42003191700,5,19,6,4-28,40.40536288,-80.01880332
889974294,TS194,Carnegie Pl - Penn Ave,stop and go,PENN AVE,Actuated/PED,Point Breeze North,9,14,42003140500,3,14,4,3-14,40.44815998,-79.89820288
345272195,TS195,Carson St - Corliss St,24 Hr stop and go,CARSON ST RAMP,Fully Actuated,Esplen,2,20,42003562500,5,20,6,1-27,40.45288321,-80.03939135
1212786957,TS196,Carson St - S 18th St,24 Hr stop and go,E CARSON ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42876672,-79.98056514
1446942669,TS197,Carson St - Main St,,,Fully Actuated,South Shore,2,19,42003980700,5,19,3,1-17,,
1922941271,TS198,Carson St - S 17th St,03:00 - 06:00,E CARSON ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42884298,-79.98205031
307839969,TS199,Carson St - Tabor St,24 Hr stop and go,CARSON ST RAMP,Fully Actuated,Esplen,2,20,42003562500,5,20,6,1-27,40.46275205,-80.05189037
2011109930,TS2,Aiken Ave - Centre Ave - Liberty Ave,24 Hr stop and go,,Fully Actuated,Shadyside,8,7,42003070900,2,7,4,3-23,40.45591767,-79.93859438
626662746,TS20,Blvd of the Allies - Cherry Way,24 Hr stop and go,,Fixed,Central Business District,6,1,42003020100,6,1,2,1-4,40.43745252,-79.99931216
1275543187,TS200,Carson St - S 10th St,24 Hr stop and go,E CARSON ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42871045,-79.98857658
481445183,TS201,Carson St - S 12th St,03:00 - 06:00,E CARSON ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42875786,-79.98642537
1792407600,TS202,Carson St - S 20th St,03:00 - 06:00,E CARSON ST,Fixed,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42859587,-79.97763867
547113883,TS205,Carson St - West End Br - Main St,24 Hr stop and go,CARSON ST RAMP,Actuated,South Shore,2,19,42003980700,5,19,3,1-17,40.44426464,-80.02820606
262270363,TS206,Cedar Ave - North Ave,24 Hr stop and go,NORTH AVE,Fixed,East Allegheny,1,22,42003563200,1,22,1,1-6,40.45622694,-80.00262399
1510247005,TS207,Cedar Ave - East Ohio St,24 Hr stop and go,EAST OHIO ST,Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45332005,-80.00169657
350209643,TS208,Centre Ave - Craig St,24 Hr stop and go,CENTRE AVE,Fixed / Ped Actuated,North Oakland,8,5,42003562000,3,5,4,2-23,40.4518915,-79.95202093
1548280263,TS209,Centre Ave - Crawford St,24 Hr stop and go,CENTRE AVE,Fixed,Central Business District,6,3,42003020100,6,3,2,2-1,40.44103751,-79.98601351
274826791,TS21,Blvd of the Allies - Commonwealth Pl,24 Hr stop and go,,Fixed,Central Business District,6,1,42003020100,6,1,2,1-3,40.4403047,-80.00701499
1535156430,TS210,Centre Ave - Francis St,00:00 - 06:00,CENTRE AVE,Fixed,Middle Hill,6,5,42003050100,3,5,2,2-5,40.4471124,-79.96748785
1997983572,TS211,Centre Ave - S Graham St,24 Hr stop and go,CENTRE AVE,Fully Actuated,Shadyside,8,8,42003070900,2,8,4,3-22,40.45657258,-79.93649344
1285388780,TS212,Centre Ave - Kirkpatrick St - Mahon St,24 Hr stop and go,CENTRE AVE,Fixed,Middle Hill,6,5,42003050100,3,5,2,2-1,40.44531449,-79.97623874
2084743863,TS213,Centre Ave - Melwood Ave,24 Hr stop and go,CENTRE AVE,Fully Actuated,North Oakland,8,4,42003562000,3,4,4,2-23,40.45224148,-79.95086462
170752439,TS214,Centre Ave - Millvale Ave,24 Hr stop and go,CENTRE AVE,Fully Actuated,Shadyside,8,7,42003070900,2,7,4,2-23,40.45329867,-79.94734956
489596708,TS215,Centre Ave - Morewood Ave,24 Hr stop and go,CENTRE AVE,Fully Actuated,Shadyside,8,7,42003080400,2,7,5,2-23,40.45416769,-79.94445193
427262988,TS216,Centre Ave - Negley Ave,24 Hr stop and go,CENTRE AVE,Fully Actuated,Shadyside,8,7,42003070900,2,7,4,3-11,40.45726977,-79.93406042
1090595147,TS217,Centre Ave - Neville St,24 Hr stop and go,CENTRE AVE,Fully Actuated,North Oakland,8,4,42003562000,3,4,4,2-23,40.45259255,-79.94969125
1996392775,TS22,Blvd of the Allies - Craft Ave,24 Hr stop and go,,Semi Actuated,South Oakland,3,4,42003040900,3,4,4,2-14,40.43584438,-79.96153038
166260431,TS220,Centre Ave - Washington Pl,24 Hr stop and go,,Fixed,Central Business District,6,3,42003020100,6,3,2,2-4,40.44044607,-79.99145205
1724665899,TS221,Charles St - Perrysville Ave,00:00 - 06:00,PERRYSVILLE AVE,Fixed,Perry South,6,26,42003261500,1,26,1,1-23,40.47101409,-80.00860156
462552568,TS222,Chartiers Ave - Lorenz Ave,24 Hr stop and go,CHARTIERS AVE,Semi Actuated,Elliott,2,20,42003562600,5,20,6,1-17,40.44398115,-80.04063288
1073457786,TS226,Chaucer St - Deary St - Lincoln Ave,24 Hr stop and go,LINCOLN AVE,Fixed,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46421488,-79.90075852
1182969737,TS227,Cherry Way - Fifth Ave - WIlliam Penn Pl,24 Hr stop and go,FIFTH AVE,Fixed,Central Business District,6,2,42003020100,6,2,2,1-4,40.43974842,-79.99772074
849705252,TS228,Cherry Way - Forbes Ave,24 Hr stop and go,FORBES AVE,Fixed,Central Business District,6,2,42003020100,6,2,2,1-4,40.43905892,-79.99821616
248558072,TS229,Cherry Way - Fourth Ave,00:00 - 06:00,FOURTH AVE,Fixed,Central Business District,6,1,42003020100,6,1,2,1-4,40.43840401,-79.99866647
1086050341,TS23,Blvd of the Allies - Dawson St,24 Hr stop and go,,Fixed,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43439129,-79.95319393
1179327304,TS231,Chestnut St - East Ohio St,24 Hr stop and go,EAST OHIO ST,Fixed,East Allegheny,1,23,42003563200,1,23,1,1-5,40.45492703,-79.9945075
141655232,TS232,Chestnut St - Progress St,24 Hr stop and go,CHESTNUT ST,Fixed,Troy Hill,1,23,42003240600,1,23,1,1-5,40.45319413,-79.99269077
583715480,TS233,Chislett St - Stanton Ave,24 Hr stop and go,STANTON AVE,Fixed,East Liberty,7,11,42003111300,2,11,5,3-7,40.4732605,-79.93074285
333438521,TS234,Collier St - Frankstown Ave,24 Hr stop and go,FRANKSTOWN AVE,Fixed,Homewood South,9,13,42003130400,2,13,5,3-17,40.45640084,-79.89190477
1123714228,TS235,Centre Ave - Station St,00:00 - 06:00,CENTRE AVE,Semi Actuated,East Liberty,9,11,42003111500,2,11,5,3-8,40.46287917,-79.92130109
1757953109,TS236,Commons - Federal St N,24 Hr stop and go,,Fully Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45392567,-80.0060741
2055879282,TS237,Commons - Federal St S,24 Hr stop and go,,Fully Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45021479,-80.00496805
2058810229,TS238,Commons - East Ohio St,24 Hr stop and go,,Fully Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45297138,-80.00367899
517929728,TS239,Commons - Ridge Ave,24 Hr stop and go,,Fully Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45219124,-80.00765178
831550141,TS24,Blvd of the Allies - Grant St,24 Hr stop and go,,Fixed,Central Business District,6,1,42003020100,6,1,2,1-4,40.43707158,-79.99836601
713215469,TS240,Commons - Sandusky St - Stockton Ave,24 Hr stop and go,,Fully Actuated,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45069805,-80.00294111
716179702,TS241,Commonwealth Pl - Liberty Ave,24 Hr stop and go,,Fixed,Central Business District,6,2,42003020100,6,2,2,1-3,40.44087224,-80.00675336
1358581049,TS242,Craft Ave - Fifth Ave,24 Hr stop and go,,Fixed / Ped Actuated,South Oakland,6,4,42003040900,3,4,4,2-14,40.4378499,-79.96393561
1318549967,TS243,Craft Ave - Forbes Ave,24 Hr stop and go,FORBES AVE,Fixed / Ped Actuated,South Oakland,6,4,42003040900,3,4,4,2-14,40.43711678,-79.96311466
398270442,TS244,Crafton Blvd - Stratmore St,24 Hr stop and go,,Fixed,Westwood,2,28,42003563100,5,28,6,1-18,40.43777463,-80.05586093
963888247,TS245,Craig St - Fifth Ave,24 Hr stop and go,FIFTH AVE,Fixed / Ped Actuated,North Oakland,8,4,42003040400,3,4,4,2-9,40.44694438,-79.94900943
